global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
0,0,0.0,3300,330.0,9100,630.0,1142.0,12600,600,6.0,3400,340.0,9100,220.0,748.0,4400,0,0.0,3300,330.0,9100,890.0,1402.0,17800,600,6.0,3500,350.0,9100,385.0,923.0,7700,1200,12.0,3800,380.0,9100,535.0,1109.0,10700,0,0.0,3300,330.0,9100,890.0,1402.0,17800,500,5.0,3400,340.0,9100,145.0,672.0,2900
1,0,0.0,2100,210.0,5900,215.0,543.0,4300,600,6.0,2400,240.0,5900,80.0,444.0,1600,0,0.0,2100,210.0,5900,315.0,643.0,6300,200,2.0,2200,220.0,5900,100.0,440.0,2000,100,1.0,2200,220.0,5900,165.0,504.0,3300,0,0.0,2100,210.0,5900,295.0,623.0,5900,100,1.0,2200,220.0,5900,35.0,374.0,700
2,0,0.0,2600,260.0,7600,450.0,862.0,9000,500,5.0,2900,290.0,7600,175.0,622.0,3500,0,0.0,2600,260.0,7600,635.0,1047.0,12700,400,4.0,2800,280.0,7600,275.0,711.0,5500,400,4.0,2800,280.0,7600,380.0,816.0,7600,0,0.0,2600,260.0,7600,635.0,1047.0,12700,100,1.0,2700,270.0,7600,115.0,538.0,2300
3,0,0.0,2300,230.0,6400,280.0,638.0,5600,700,7.0,2600,260.0,6400,135.0,530.0,2700,0,0.0,2300,230.0,6400,455.0,813.0,9100,700,7.0,2500,250.0,6400,190.0,575.0,3800,700,7.0,2500,250.0,6400,330.0,715.0,6600,0,0.0,2300,230.0,6400,455.0,813.0,9100,300,3.0,2400,240.0,6400,65.0,436.0,1300
4,300,3.0,3200,320.0,7400,215.0,686.0,4300,2000,20.0,3800,380.0,7400,40.0,588.0,800,0,0.0,3200,320.0,7400,440.0,908.0,8800,900,9.0,3400,340.0,7400,95.0,592.0,1900,2600,26.0,4100,410.0,7400,180.0,764.0,3600,800,8.0,3200,320.0,7400,480.0,956.0,9600,2000,20.0,3800,380.0,7400,5.0,553.0,100
5,300,3.0,3000,300.0,7000,280.0,723.0,5600,700,7.0,3200,320.0,7000,45.0,512.0,900,400,4.0,3000,300.0,7000,440.0,884.0,8800,500,5.0,3100,310.0,7000,100.0,555.0,2000,1300,13.0,3200,320.0,7000,245.0,718.0,4900,600,6.0,3000,300.0,7000,505.0,951.0,10100,700,7.0,3000,300.0,7000,5.0,452.0,100
6,300,3.0,2100,210.0,5200,180.0,497.0,3600,1100,11.0,2400,240.0,5200,90.0,445.0,1800,0,0.0,2100,210.0,5200,290.0,604.0,5800,800,8.0,2200,220.0,5200,125.0,457.0,2500,800,8.0,2500,250.0,5200,220.0,582.0,4400,0,0.0,2100,210.0,5200,290.0,604.0,5800,400,4.0,2100,210.0,5200,50.0,368.0,1000
7,200,2.0,2900,290.0,7000,370.0,802.0,7400,500,5.0,3100,310.0,7000,180.0,635.0,3600,0,0.0,2900,290.0,7000,570.0,1000.0,11400,800,8.0,3000,300.0,7000,235.0,683.0,4700,800,8.0,3100,310.0,7000,365.0,823.0,7300,0,0.0,2900,290.0,7000,570.0,1000.0,11400,100,1.0,2900,290.0,7000,90.0,521.0,1800
8,400,4.0,2000,200.0,4300,55.0,345.0,1100,400,4.0,2000,200.0,4300,10.0,300.0,200,400,4.0,1900,190.0,4300,135.0,415.0,2700,900,9.0,2200,220.0,4300,30.0,345.0,600,1700,17.0,2400,240.0,4300,135.0,478.0,2700,400,4.0,1900,190.0,4300,145.0,425.0,2900,400,4.0,2000,200.0,4300,0.0,290.0,0
9,200,2.0,1800,180.0,4500,100.0,372.0,2000,400,4.0,1800,180.0,4500,10.0,284.0,200,0,0.0,1700,170.0,4500,155.0,415.0,3100,100,1.0,1800,180.0,4500,40.0,311.0,800,400,4.0,2000,200.0,4500,70.0,364.0,1400,0,0.0,1700,170.0,4500,65.0,325.0,1300,400,4.0,1700,170.0,4500,10.0,274.0,200
