global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
0,200,2.0,3300,330.0,15200,95.0,731.0,1900,600,6.0,3700,370.0,15200,35.0,715.0,700,200,2.0,3500,350.0,15200,460.0,1116.0,9200,700,7.0,3600,360.0,15200,115.0,786.0,2300,7900,79.0,4900,490.0,15200,755.0,1628.0,15100,100,1.0,3700,370.0,15200,505.0,1180.0,10100,300,3.0,3200,320.0,15200,15.0,642.0,300
1,200,2.0,2400,240.0,9600,45.0,479.0,900,900,9.0,2400,240.0,9600,30.0,471.0,600,400,4.0,2400,240.0,9600,190.0,626.0,3800,1200,12.0,2600,260.0,9600,70.0,534.0,1400,4300,43.0,3100,310.0,9600,295.0,840.0,5900,200,2.0,2300,230.0,9600,175.0,599.0,3500,0,0.0,2200,220.0,9600,10.0,422.0,200
2,200,2.0,3000,300.0,12800,95.0,653.0,1900,700,7.0,3300,330.0,12800,30.0,623.0,600,400,4.0,3000,300.0,12800,340.0,900.0,6800,1400,14.0,3200,320.0,12800,100.0,690.0,2000,7300,73.0,4300,430.0,12800,675.0,1434.0,13500,200,2.0,3000,300.0,12800,325.0,883.0,6500,500,5.0,2700,270.0,12800,10.0,541.0,200
3,500,5.0,2900,290.0,11200,55.0,574.0,1100,1300,13.0,2900,290.0,11200,30.0,557.0,600,300,3.0,2600,260.0,11200,250.0,737.0,5000,1300,13.0,2900,290.0,11200,100.0,627.0,2000,4300,43.0,3400,340.0,11200,405.0,1012.0,8100,300,3.0,2700,270.0,11200,270.0,767.0,5400,400,4.0,2500,250.0,11200,10.0,488.0,200
4,700,7.0,2900,290.0,11200,40.0,561.0,800,1100,11.0,2800,280.0,11200,30.0,545.0,600,300,3.0,3000,300.0,11200,240.0,767.0,4800,900,9.0,2900,290.0,11200,70.0,593.0,1400,5300,53.0,3800,380.0,11200,375.0,1032.0,7500,100,1.0,2900,290.0,11200,235.0,750.0,4700,700,7.0,2700,270.0,11200,5.0,506.0,100
5,500,5.0,2600,260.0,11200,40.0,529.0,800,700,7.0,2800,280.0,11200,30.0,541.0,600,0,0.0,2900,290.0,11200,210.0,724.0,4200,600,6.0,2700,270.0,11200,75.0,575.0,1500,3500,35.0,3500,350.0,11200,310.0,919.0,6200,200,2.0,2900,290.0,11200,210.0,726.0,4200,500,5.0,2600,260.0,11200,10.0,499.0,200
6,800,8.0,2100,210.0,8800,35.0,429.0,700,1800,18.0,2500,250.0,8800,30.0,474.0,600,600,6.0,2300,230.0,8800,180.0,592.0,3600,1800,18.0,2400,240.0,8800,75.0,509.0,1500,3700,37.0,3000,300.0,8800,240.0,753.0,4800,200,2.0,2100,210.0,8800,150.0,538.0,3000,600,6.0,2100,210.0,8800,5.0,397.0,100
7,200,2.0,2900,290.0,12000,80.0,612.0,1600,1100,11.0,3000,300.0,12000,30.0,581.0,600,400,4.0,3100,310.0,12000,330.0,884.0,6600,1700,17.0,3200,320.0,12000,120.0,697.0,2400,5100,51.0,3700,370.0,12000,415.0,1076.0,8300,200,2.0,2700,270.0,12000,300.0,812.0,6000,300,3.0,2800,280.0,12000,10.0,533.0,200
8,1000,10.0,2000,200.0,7200,20.0,374.0,400,300,3.0,2100,210.0,7200,30.0,387.0,600,0,0.0,2100,210.0,7200,45.0,399.0,900,300,3.0,2000,200.0,7200,40.0,387.0,800,2000,20.0,2100,210.0,7200,120.0,494.0,2400,400,4.0,2200,220.0,7200,65.0,433.0,1300,600,6.0,2000,200.0,7200,10.0,360.0,200
9,400,4.0,1900,190.0,7200,20.0,358.0,400,1300,13.0,2200,220.0,7200,30.0,407.0,600,600,6.0,1700,170.0,7200,100.0,420.0,2000,1300,13.0,2300,230.0,7200,40.0,427.0,800,2800,28.0,2300,230.0,7200,65.0,467.0,1300,200,2.0,1700,170.0,7200,95.0,411.0,1900,700,7.0,1700,170.0,7200,5.0,326.0,100
