global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
0,400,4.0,2400,240.0,17400,815.0,1407.0,16300,2200,22.0,2800,280.0,17400,220.0,870.0,4400,0,0.0,2500,250.0,17400,1060.0,1658.0,21200,1300,13.0,2700,270.0,17400,335.0,966.0,6700,2100,21.0,2700,270.0,17400,555.0,1194.0,11100,200,2.0,2400,240.0,17400,960.0,1550.0,19200,1200,12.0,2500,250.0,17400,195.0,805.0,3900
1,0,0.0,2300,230.0,16800,730.0,1296.0,14600,2300,23.0,2700,270.0,16800,200.0,829.0,4000,0,0.0,2400,240.0,16800,880.0,1456.0,17600,1500,15.0,2600,260.0,16800,335.0,946.0,6700,2700,27.0,2800,280.0,16800,605.0,1248.0,12100,300,3.0,2400,240.0,16800,780.0,1359.0,15600,2600,26.0,2700,270.0,16800,205.0,837.0,4100
2,600,6.0,2300,230.0,15300,550.0,1092.0,11000,1400,14.0,2300,230.0,15300,115.0,665.0,2300,0,0.0,2200,220.0,15300,660.0,1186.0,13200,1600,16.0,2600,260.0,15300,235.0,817.0,4700,1100,11.0,2400,240.0,15300,455.0,1012.0,9100,500,5.0,2400,240.0,15300,665.0,1216.0,13300,1200,12.0,2300,230.0,15300,95.0,643.0,1900
3,300,3.0,2100,210.0,14800,400.0,909.0,8000,1900,19.0,2400,240.0,14800,80.0,635.0,1600,200,2.0,2200,220.0,14800,655.0,1173.0,13100,1300,13.0,2400,240.0,14800,195.0,744.0,3900,3500,35.0,2700,270.0,14800,470.0,1071.0,9400,400,4.0,2100,210.0,14800,595.0,1105.0,11900,1000,10.0,2300,230.0,14800,130.0,666.0,2600
4,400,4.0,1600,160.0,10000,175.0,539.0,3500,1400,14.0,1700,170.0,10000,15.0,399.0,300,100,1.0,1500,150.0,10000,235.0,586.0,4700,1100,11.0,1600,160.0,10000,60.0,431.0,1200,700,7.0,1700,170.0,10000,135.0,512.0,2700,400,4.0,1600,160.0,10000,255.0,619.0,5100,500,5.0,1700,170.0,10000,15.0,390.0,300
5,100,1.0,1800,180.0,13000,300.0,741.0,6000,2100,21.0,2200,220.0,13000,80.0,581.0,1600,100,1.0,1900,190.0,13000,445.0,896.0,8900,1000,10.0,2000,200.0,13000,155.0,625.0,3100,3400,34.0,2400,240.0,13000,390.0,924.0,7800,600,6.0,1900,190.0,13000,415.0,871.0,8300,1700,17.0,2100,210.0,13000,80.0,567.0,1600
6,500,5.0,1900,190.0,11900,270.0,703.0,5400,1200,12.0,1900,190.0,11900,40.0,480.0,800,0,0.0,1600,160.0,11900,345.0,743.0,6900,1700,17.0,1900,190.0,11900,150.0,595.0,3000,2000,20.0,2100,210.0,11900,225.0,693.0,4500,300,3.0,1700,170.0,11900,355.0,766.0,7100,1100,11.0,1900,190.0,11900,40.0,479.0,800
7,100,1.0,1800,180.0,14100,400.0,863.0,8000,1300,13.0,2200,220.0,14100,70.0,585.0,1400,0,0.0,1900,190.0,14100,530.0,1002.0,10600,1600,16.0,2400,240.0,14100,185.0,723.0,3700,1300,13.0,2100,210.0,14100,360.0,865.0,7200,300,3.0,2100,210.0,14100,530.0,1025.0,10600,1300,13.0,2100,210.0,14100,90.0,595.0,1800
8,100,1.0,2200,220.0,15000,505.0,1026.0,10100,1500,15.0,2500,250.0,15000,65.0,630.0,1300,0,0.0,2300,230.0,15000,640.0,1170.0,12800,1200,12.0,2400,240.0,15000,180.0,732.0,3600,2400,24.0,2600,260.0,15000,520.0,1104.0,10400,400,4.0,2300,230.0,15000,630.0,1164.0,12600,2300,23.0,2400,240.0,15000,90.0,653.0,1800
9,500,5.0,2500,250.0,17300,920.0,1521.0,18400,1900,19.0,2700,270.0,17300,295.0,930.0,5900,0,0.0,2400,240.0,17300,1075.0,1661.0,21500,1100,11.0,2600,260.0,17300,425.0,1042.0,8500,3100,31.0,2900,290.0,17300,680.0,1347.0,13600,0,0.0,2400,240.0,17300,920.0,1506.0,18400,1600,16.0,2500,250.0,17300,280.0,892.0,5600
10,100,1.0,2300,230.0,14600,425.0,948.0,8500,1000,10.0,2200,220.0,14600,100.0,622.0,2000,200,2.0,2300,230.0,14600,590.0,1114.0,11800,1000,10.0,2300,230.0,14600,175.0,707.0,3500,1700,17.0,2300,230.0,14600,420.0,959.0,8400,900,9.0,2400,240.0,14600,710.0,1251.0,14200,1600,16.0,2300,230.0,14600,75.0,613.0,1500
11,0,0.0,2200,220.0,16300,665.0,1211.0,13300,1900,19.0,2700,270.0,16300,220.0,835.0,4400,0,0.0,2200,220.0,16300,825.0,1371.0,16500,1300,13.0,2600,260.0,16300,305.0,904.0,6100,1900,19.0,2600,260.0,16300,545.0,1150.0,10900,900,9.0,2500,250.0,16300,730.0,1315.0,14600,500,5.0,2300,230.0,16300,190.0,751.0,3800
12,400,4.0,2200,220.0,15000,620.0,1144.0,12400,1900,19.0,2400,240.0,15000,155.0,714.0,3100,200,2.0,2200,220.0,15000,775.0,1297.0,15500,1000,10.0,2300,230.0,15000,320.0,860.0,6400,700,7.0,2200,220.0,15000,435.0,962.0,8700,200,2.0,2200,220.0,15000,695.0,1217.0,13900,700,7.0,2200,220.0,15000,155.0,682.0,3100
13,100,1.0,1900,190.0,13400,310.0,769.0,6200,800,8.0,1900,190.0,13400,110.0,576.0,2200,100,1.0,2000,200.0,13400,520.0,989.0,10400,1200,12.0,2000,200.0,13400,195.0,675.0,3900,1700,17.0,2100,210.0,13400,385.0,880.0,7700,100,1.0,1800,180.0,13400,450.0,899.0,9000,1300,13.0,2100,210.0,13400,90.0,581.0,1800
