global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
0,0,0.0,3200,320.0,25200,1712.5,2536.5,34250,700,7.0,3600,360.0,25200,805.0,1676.0,16100,0,0.0,3300,330.0,25200,2167.5,3001.5,43350,1100,11.0,3600,360.0,25200,1022.5,1897.5,20450,1900,19.0,3900,390.0,25200,1242.5,2155.5,24850,400,4.0,3300,330.0,25200,2187.5,3025.5,43750,1600,16.0,3900,390.0,25200,812.5,1722.5,16250
1,100,1.0,2800,280.0,21300,1167.5,1874.5,23350,1700,17.0,3500,350.0,21300,510.0,1303.0,10200,0,0.0,2700,270.0,21300,1377.5,2073.5,27550,1600,16.0,3100,310.0,21300,622.5,1374.5,12450,3700,37.0,3600,360.0,21300,962.5,1785.5,19250,500,5.0,2800,280.0,21300,1422.5,2133.5,28450,1700,17.0,3100,310.0,21300,532.5,1285.5,10650
2,100,1.0,2800,280.0,22100,1172.5,1895.5,23450,1700,17.0,3300,330.0,22100,462.5,1251.5,9250,0,0.0,2800,280.0,22100,1462.5,2184.5,29250,1800,18.0,3600,360.0,22100,587.5,1407.5,11750,3000,30.0,3600,360.0,22100,782.5,1614.5,15650,300,3.0,2800,280.0,22100,1537.5,2262.5,30750,1700,17.0,3300,330.0,22100,560.0,1349.0,11200
3,200,2.0,2600,260.0,18500,607.5,1239.5,12150,2000,20.0,3200,320.0,18500,182.5,892.5,3650,100,1.0,2600,260.0,18500,797.5,1428.5,15950,1300,13.0,3200,320.0,18500,227.5,930.5,4550,3100,31.0,3600,360.0,18500,552.5,1313.5,11050,200,2.0,2500,250.0,18500,882.5,1504.5,17650,2000,20.0,2900,290.0,18500,217.5,897.5,4350
4,200,2.0,2400,240.0,17600,662.5,1256.5,13250,1600,16.0,2900,290.0,17600,307.5,965.5,6150,0,0.0,2400,240.0,17600,787.5,1379.5,15750,1500,15.0,2900,290.0,17600,337.5,994.5,6750,3700,37.0,3100,310.0,17600,510.0,1209.0,10200,500,5.0,2300,230.0,17600,892.5,1479.5,17850,900,9.0,2700,270.0,17600,272.5,903.5,5450
5,100,1.0,2500,250.0,18200,722.5,1337.5,14450,1400,14.0,3100,310.0,18200,347.5,1035.5,6950,100,1.0,2500,250.0,18200,847.5,1462.5,16950,1700,17.0,3200,320.0,18200,352.5,1053.5,7050,3200,32.0,3300,330.0,18200,470.0,1196.0,9400,300,3.0,2400,240.0,18200,912.5,1519.5,18250,2700,27.0,2800,280.0,18200,312.5,983.5,6250
6,100,1.0,2500,250.0,18400,662.5,1281.5,13250,1800,18.0,3100,310.0,18400,290.0,986.0,5800,0,0.0,2500,250.0,18400,852.5,1470.5,17050,2100,21.0,2900,290.0,18400,252.5,931.5,5050,4400,44.0,3300,330.0,18400,557.5,1299.5,11150,800,8.0,2500,250.0,18400,1002.5,1628.5,20050,2100,21.0,2900,290.0,18400,295.0,974.0,5900
7,200,2.0,3200,320.0,24900,1717.5,2537.5,34350,1600,16.0,3900,390.0,24900,730.0,1634.0,14600,0,0.0,3200,320.0,24900,1992.5,2810.5,39850,1400,14.0,4000,400.0,24900,902.5,1814.5,18050,5100,51.0,4200,420.0,24900,1157.5,2126.5,23150,100,1.0,3300,330.0,24900,2077.5,2906.5,41550,1300,13.0,3800,380.0,24900,777.5,1668.5,15550
8,300,3.0,2800,280.0,20800,917.5,1616.5,18350,1300,13.0,3000,300.0,20800,220.0,949.0,4400,0,0.0,2800,280.0,20800,1127.5,1823.5,22550,1600,16.0,3200,320.0,20800,427.5,1179.5,8550,3500,35.0,3600,360.0,20800,722.5,1533.5,14450,600,6.0,2700,270.0,20800,1162.5,1854.5,23250,3000,30.0,3300,330.0,20800,372.5,1148.5,7450
9,200,2.0,3200,320.0,24600,1762.5,2576.5,35250,1500,15.0,3900,390.0,24600,770.0,1667.0,15400,0,0.0,3200,320.0,24600,1997.5,2809.5,39950,900,9.0,3700,370.0,24600,972.5,1843.5,19450,3800,38.0,4300,430.0,24600,1242.5,2202.5,24850,400,4.0,3200,320.0,24600,2122.5,2938.5,42450,2200,22.0,3600,360.0,24600,872.5,1746.5,17450
10,0,0.0,2900,290.0,21900,1132.5,1860.5,22650,1200,12.0,3500,350.0,21900,492.5,1292.5,9850,300,3.0,3000,300.0,21900,1407.5,2148.5,28150,1800,18.0,3600,360.0,21900,612.5,1428.5,12250,4400,44.0,3900,390.0,21900,837.5,1709.5,16750,300,3.0,2800,280.0,21900,1507.5,2228.5,30150,1800,18.0,3400,340.0,21900,485.0,1281.0,9700
11,100,1.0,2500,250.0,19100,857.5,1490.5,17150,1200,12.0,2900,290.0,19100,390.0,1074.0,7800,100,1.0,2500,250.0,19100,1027.5,1660.5,20550,1500,15.0,2900,290.0,19100,522.5,1209.5,10450,2600,26.0,3000,300.0,19100,682.5,1390.5,13650,600,6.0,2600,260.0,19100,1107.5,1755.5,22150,1300,13.0,2900,290.0,19100,402.5,1087.5,8050
12,200,2.0,2900,290.0,21200,987.5,1703.5,19750,2300,23.0,3400,340.0,21200,385.0,1172.0,7700,0,0.0,2800,280.0,21200,1267.5,1971.5,25350,2200,22.0,3300,330.0,21200,477.5,1253.5,9550,2400,24.0,3500,350.0,21200,687.5,1485.5,13750,500,5.0,2800,280.0,21200,1367.5,2076.5,27350,2100,21.0,3400,340.0,21200,327.5,1112.5,6550
13,100,1.0,2400,240.0,17500,617.5,1208.5,12350,2000,20.0,2900,290.0,17500,245.0,905.0,4900,0,0.0,2300,230.0,17500,737.5,1317.5,14750,1700,17.0,2800,280.0,17500,257.5,904.5,5150,2500,25.0,2900,290.0,17500,467.5,1132.5,9350,500,5.0,2400,240.0,17500,767.5,1362.5,15350,3100,31.0,3100,310.0,17500,290.0,981.0,5800
