time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
1,2,4096,-5.224623394736842,1583,104.44736842105263,,,,,,,,,,,,
2,7,8192,-5.223274923076923,1123,102.35897435897436,-0.05857255682349205,0.014320884,0.07989031076431274,-0.03691039696896041,0.1415771484375,10,0.0909979581971129,0.2,0.0003,-3.278278446570039,,
3,11,12288,-5.185401730000001,1025,101.05,-0.07708282023668289,0.018492026,0.8606817573308945,-0.04587568093847949,0.178125,20,0.031788628543290544,0.2,0.0003,-3.2499097123742104,,
4,16,16384,-5.03478483,991,100.73,-0.07602450996637344,0.017881624,0.9485830739140511,-0.04751132284436608,0.1941650390625,30,0.02198569578031311,0.2,0.0003,-3.2308897715061904,,
,,20000,,,,-0.055717527866363525,0.018844267,0.9515924789011478,-0.04864819966460345,0.2048095703125,40,0.013663409030050389,0.2,0.0003,-3.2272233951836826,-4.797550199999999,90.6
5,21,20480,-4.942774769999999,968,102.46,,,,,,,,,,,,
6,25,24576,-4.72526438,971,101.31,-0.08500174432992935,0.022121288,0.9418327398598194,-0.04982583593446179,0.2288818359375,50,0.009345790730912995,0.2,0.0003,-3.2048183057457207,,
7,29,28672,-4.61269293,973,100.85,-0.09845560789108276,0.019282758,0.9540653489530087,-0.05224435189811629,0.22822265625,60,0.008708057245894452,0.2,0.0003,-3.1671814851462843,,
8,33,32768,-4.43321644,970,100.13,-0.06807919591665268,0.023269458,0.9467708505690098,-0.04967919118716964,0.2427490234375,70,0.0071407917837859715,0.2,0.0003,-3.1202411647886037,,
9,37,36864,-4.28189954,970,101.05,-0.08137253671884537,0.019621518,0.9523151628673077,-0.04709149517148035,0.2153564453125,80,0.006085862251165963,0.2,0.0003,-3.1313369810581206,,
,,40000,,,,-0.06168270483613014,0.021034554,0.9489755481481552,-0.04924044724612031,0.2442138671875,90,0.006647229864574911,0.2,0.0003,-3.1105000492185355,-3.7338195999999995,84.8
10,42,40960,-4.144108970000001,960,102.02,,,,,,,,,,,,
11,47,45056,-4.07432685,957,102.67,-0.0647466629743576,0.021919616,0.9480067603290081,-0.04564847908404772,0.2407958984375,100,0.004160508216409653,0.2,0.0003,-3.104480418935418,,
12,51,49152,-3.90301442,958,102.06,-0.07642897963523865,0.021461267,0.9476336427032948,-0.04741788586397888,0.24072265625,110,0.00449980504827181,0.2,0.0003,-3.0570973552763463,,
13,55,53248,-3.9071603999999995,955,101.35,-0.05451936274766922,0.01898501,0.9328985139727592,-0.038368221212294884,0.2302734375,120,0.004785340737998922,0.2,0.0003,-3.0499305300414563,,
14,60,57344,-3.926735,954,100.41,-0.08454428613185883,0.021492135,0.9313114657998085,-0.049287518276832996,0.2470947265625,130,0.006388819593121297,0.2,0.0003,-3.049836403876543,,
,,60000,,,,-0.07490165531635284,0.022404801,0.9615463986992836,-0.04675845304882387,0.249853515625,140,0.0036970366969399037,0.2,0.0003,-3.0562664460390807,-4.133386799999999,97.0
15,64,61440,-3.9142268099999997,945,99.96,,,,,,,,,,,,
16,69,65536,-3.8296016400000004,946,101.16,-0.06459604948759079,0.021324635,0.9561922252178192,-0.04390111141692614,0.25322265625,150,0.005074491519098956,0.2,0.0003,-3.034189674630761,,
17,73,69632,-3.9133460499999995,948,101.35,-0.06967722624540329,0.021828596,0.9580565132200718,-0.043536397479329025,0.243603515625,160,0.003865687254074146,0.2,0.0003,-3.0142839182168246,,
18,77,73728,-4.01061915,946,101.2,-0.08367031812667847,0.022410795,0.9518361240625381,-0.04975566881330451,0.2577392578125,170,0.004769660495367134,0.2,0.0003,-3.0193768706172706,,
19,82,77824,-3.952372879999999,946,100.5,-0.05587994307279587,0.020386215,0.9503198303282261,-0.045381203680153706,0.2355224609375,180,0.004701959184876614,0.2,0.0003,-2.9940803948789836,,
,,80000,,,,-0.0698404610157013,0.02218306,0.9353447109460831,-0.0469531559952884,0.2635498046875,190,0.006000398106607463,0.2,0.0003,-2.9815995335578918,-4.4497002000000005,92.4
20,86,81920,-3.87853408,942,100.66,,,,,,,,,,,,
21,91,86016,-3.8161898,941,100.31,-0.0831979364156723,0.022907529,0.9301650896668434,-0.047550357962973064,0.2498046875,200,0.006542903802619548,0.2,0.0003,-2.9311077922582625,,
22,95,90112,-3.76892338,942,101.37,-0.06812550127506256,0.023471069,0.9531544707715511,-0.0497509877437551,0.2739990234375,210,0.005507192260483862,0.2,0.0003,-2.923612067103386,,
23,100,94208,-3.7890448199999995,941,102.03,-0.08050336688756943,0.024379987,0.9571770243346691,-0.04907564133682172,0.2802001953125,220,0.004452632863103645,0.2,0.0003,-2.9287923842668535,,
24,104,98304,-3.7361266900000003,939,102.02,-0.049736473709344864,0.021972008,0.9495479948818684,-0.04486671012564329,0.2708984375,230,0.004076989814620902,0.2,0.0003,-2.9152239102870228,,
,,100000,,,,-0.07478033751249313,0.021765452,0.9394970573484898,-0.040594007607796814,0.2720703125,240,0.0056781000031151056,0.2,0.0003,-2.8949400555342435,-3.160848,87.8
25,109,102400,-3.7347675700000003,933,101.27,,,,,,,,,,,,
26,114,106496,-3.68242909,931,100.78,-0.07312598079442978,0.022160906,0.9395224414765835,-0.03997954017031589,0.2576171875,250,0.004993104984532692,0.2,0.0003,-2.8730334617197513,,
27,118,110592,-3.63728864,931,101.26,-0.07518351078033447,0.025057087,0.9350526556372643,-0.041177010940009494,0.28115234375,260,0.005702133020531619,0.2,0.0003,-2.900309805199504,,
28,122,114688,-3.6821027500000008,932,101.76,-0.053209058940410614,0.023860222,0.94712994992733,-0.04333034273658996,0.2735107421875,270,0.005061116154683987,0.2,0.0003,-2.8565027337521314,,
29,127,118784,-3.6945205700000003,931,101.5,-0.09207899123430252,0.025101123,0.9518151246011257,-0.046272030887485015,0.27119140625,280,0.003996516216193413,0.2,0.0003,-2.833675477653742,,
,,120000,,,,-0.06724484264850616,0.024407182,0.9474795050919056,-0.04479551541517139,0.2653564453125,290,0.005280493906684569,0.2,0.0003,-2.8038061898201705,-2.9412968000000004,82.8
30,132,122880,-3.729324540000001,928,101.97,,,,,,,,,,,,
31,136,126976,-3.6018605599999995,928,100.57,-0.09376385062932968,0.027433552,0.9516329132020473,-0.045064588686364,0.29375,300,0.004480661689467524,0.2,0.0003,-2.7896273899823427,,
32,141,131072,-3.5265175799999997,927,100.46,-0.060895949602127075,0.026874626,0.9535660967230797,-0.04618791524335393,0.2833251953125,310,0.004419139776928205,0.2,0.0003,-2.8185967206954956,,
33,145,135168,-3.50042874,926,99.99,-0.05587306246161461,0.023845913,0.923277772963047,-0.04290839119712473,0.272705078125,320,0.005899496106667357,0.2,0.0003,-2.7488223269581793,,
34,150,139264,-3.4759533000000005,926,100.6,-0.06514259427785873,0.024995347,0.9651007167994976,-0.04639242182747694,0.276708984375,330,0.003152632617548079,0.2,0.0003,-2.733570856973529,,
,,140000,,,,-0.06302815675735474,0.026647016,0.9360561892390251,-0.045159108040388675,0.30029296875,340,0.004743873892584816,0.2,0.0003,-2.685850366950035,-3.6179797999999996,97.4
35,154,143360,-3.40413581,925,100.47,,,,,,,,,,,,
36,159,147456,-3.44686155,926,101.69,-0.06643764674663544,0.025964119,0.9602269046008587,-0.04251421364169801,0.2791259765625,350,0.0038892955987648746,0.2,0.0003,-2.7076449397951365,,
