time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
1,2,4096,-5.1630715897435895,1593,103.23076923076923,,,,,,,,,,,,
2,6,8192,-5.264609784810127,1233,101.55696202531645,-0.06397169083356857,0.013645616,0.2058205008506775,-0.036725811903306746,0.14423828125,10,0.06918928691156907,0.2,0.0003,-3.287596558779478,,
3,10,12288,-5.32173265,1129,101.37,-0.08332425355911255,0.019550685,0.867620050907135,-0.04809893390556681,0.1890869140625,20,0.030867356866656336,0.2,0.0003,-3.2633670825511216,,
4,15,16384,-5.328507200000001,1091,101.45,-0.06982766091823578,0.015572942,0.940582625567913,-0.04259993945051974,0.1696533203125,30,0.019615041494398612,0.2,0.0003,-3.2403287164866925,,
,,20000,,,,-0.07724921405315399,0.018661203,0.9558491855859756,-0.04742229042021791,0.214599609375,40,0.014530889510569977,0.2,0.0003,-3.2465768072754146,-5.364134,90.2
5,19,20480,-5.217402109999999,1032,100.19,,,,,,,,,,,,
6,23,24576,-4.98504845,1026,100.31,-0.06482351571321487,0.02071851,0.9511311165988445,-0.04477623655184289,0.2053955078125,50,0.013513801687440718,0.2,0.0003,-3.1832324370741842,,
7,28,28672,-4.81238222,1019,100.03,-0.07008633017539978,0.019223018,0.9403466023504734,-0.04778777189858374,0.2255615234375,60,0.009733303133907611,0.2,0.0003,-3.1895549558103085,,
8,32,32768,-4.5196051299999995,1020,100.0,-0.09242701530456543,0.019183313,0.949563056230545,-0.05218840518136858,0.229541015625,70,0.008532054315219284,0.2,0.0003,-3.170427780225873,,
9,36,36864,-4.43228568,1018,100.73,-0.0844896212220192,0.023840427,0.9316343814134598,-0.05382700370755629,0.252490234375,80,0.00779247755635879,0.2,0.0003,-3.1689062245190143,,
,,40000,,,,-0.0793452337384224,0.021408323,0.9533530920743942,-0.0486703559923626,0.23515625,90,0.005641657033265801,0.2,0.0003,-3.1198923602700233,-6.6769972,101.8
10,40,40960,-4.27018304,1004,101.78,,,,,,,,,,,,
11,44,45056,-4.109949390000001,1004,102.59,-0.08124341070652008,0.020274706,0.95044731721282,-0.04513437672503642,0.2287841796875,100,0.005643011374377238,0.2,0.0003,-3.096818372607231,,
12,48,49152,-3.8906543699999996,1004,101.09,-0.03302394598722458,0.01742471,0.9325322508811951,-0.03940636550978525,0.2212158203125,110,0.0058589532759469876,0.2,0.0003,-3.0809851437807083,,
13,53,53248,-3.92009293,1004,101.61,-0.05407213792204857,0.018332185,0.9318948090076447,-0.04204572222952265,0.2015380859375,120,0.004839396830629994,0.2,0.0003,-3.0388286877423525,,
14,57,57344,-3.90665851,1000,101.24,-0.06918826699256897,0.017900214,0.9348797872662544,-0.037714405894257653,0.2015869140625,130,0.00506185513067976,0.2,0.0003,-3.0623917102813722,,
,,60000,,,,-0.10021747648715973,0.0211124,0.9618568234145641,-0.047823300752497744,0.2398193359375,140,0.003601025188982021,0.2,0.0003,-3.063722463324666,-3.7647018,87.2
15,61,61440,-3.893123739999999,993,100.73,,,,,,,,,,,,
16,66,65536,-3.81380231,992,100.59,-0.08042440563440323,0.020995382,0.9630302749574184,-0.047997473853320115,0.241943359375,150,0.0034595022651956243,0.2,0.0003,-3.0240394726395605,,
17,70,69632,-3.78120954,992,101.07,-0.06385661661624908,0.020575324,0.9466348066926003,-0.04119167215612833,0.226220703125,160,0.004843699938919599,0.2,0.0003,-2.9942113049328327,,
18,74,73728,-3.7383777100000004,991,100.96,-0.05386309698224068,0.020789646,0.9478776603937149,-0.04460460808768403,0.2426025390625,170,0.004749455432101968,0.2,0.0003,-2.9749523773789406,,
19,78,77824,-3.7934365,992,101.33,-0.08672033250331879,0.02238804,0.9390894398093224,-0.04356694902526215,0.2511474609375,180,0.005015081311466929,0.2,0.0003,-2.986810028925538,,
,,80000,,,,-0.053337693214416504,0.0202167,0.9579979069530964,-0.04310746331611881,0.23779296875,190,0.003843237468117877,0.2,0.0003,-2.9754496190696953,-3.7826824,90.2
20,83,81920,-3.8628400999999997,986,101.77,,,,,,,,,,,,
21,87,86016,-3.8365785199999993,985,101.68,-0.08512670546770096,0.020840313,0.9477757476270199,-0.045810877580333906,0.2495361328125,200,0.004671424689331616,0.2,0.0003,-2.962514493614435,,
22,91,90112,-3.8036021500000006,981,100.44,-0.05513988435268402,0.020716203,0.9415661171078682,-0.04539163644076325,0.23974609375,210,0.005868135157015786,0.2,0.0003,-2.9728990741074086,,
23,96,94208,-3.71475081,979,99.73,-0.07731496542692184,0.022707503,0.9470431841909885,-0.04543838270692504,0.249365234375,220,0.004769698135714861,0.2,0.0003,-2.945575113222003,,
24,100,98304,-3.66478872,980,100.45,-0.06236642226576805,0.023551062,0.9462080672383308,-0.04659444897988578,0.2630615234375,230,0.005244109652176121,0.2,0.0003,-2.9268329974263905,,
,,100000,,,,-0.07959743589162827,0.02488107,0.9396098144352436,-0.046960827079965385,0.2751220703125,240,0.005695145452045835,0.2,0.0003,-2.9175478257238865,-3.0622,93.4
25,104,102400,-3.7250812700000004,975,103.25,,,,,,,,,,,,
26,109,106496,-3.7449806100000007,974,103.27,-0.07791873812675476,0.024454251,0.9422143585979939,-0.0457841252849903,0.2793701171875,250,0.005067949080694234,0.2,0.0003,-2.9154355507344007,,
27,113,110592,-3.7046410599999997,973,101.13,-0.05894852429628372,0.024401877,0.9475229121744633,-0.05066998071124544,0.2610595703125,260,0.004611221271170507,0.2,0.0003,-2.921137937903404,,
28,117,114688,-3.620724240000001,973,100.33,-0.06468982249498367,0.02205659,0.9457851573824883,-0.044994168218545384,0.2554931640625,270,0.005348240368039115,0.2,0.0003,-2.839138103276491,,
29,121,118784,-3.5471914100000004,974,100.32,-0.032426390796899796,0.026131775,0.9603761322796345,-0.04722196998409345,0.284912109375,280,0.00364239195268965,0.2,0.0003,-2.8579413373023272,,
