time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,eval/mean_ep_length,eval/mean_reward
4096,104.15789473684211,-4.7795300526315785,1,2,1499,,,,,,,,,,,,
8192,102.26582278481013,-4.711969873417723,2,6,1209,0.1718481183052063,0.021780603,0.2,-0.03992153913641232,-0.07580117881298065,-3.574163929373026,0.1811767578125,10,0.0003,0.04606771220860537,,
12288,101.36,-4.822775660000001,3,11,1112,0.8796242401003838,0.022990076,0.2,-0.049707857627072374,-0.03744737058877945,-3.5454638581722975,0.216796875,20,0.0003,0.02142016138132021,,
16384,100.33,-4.88705591,4,15,1090,0.9501824453473091,0.019598413,0.2,-0.047045279268786544,-0.09027465432882309,-3.5601753126829863,0.2056884765625,30,0.0003,0.013605999131686985,,
20000,,,,,,0.9491026476025581,0.018206112,0.2,-0.0439774797676364,-0.06912236660718918,-3.5712823305279016,0.1943115234375,40,0.0003,0.011843517465240438,96.8,-5.332156199999999
20480,100.63,-4.6130938,5,19,1045,,,,,,,,,,,,
24576,100.87,-4.507296040000001,6,23,1034,0.9307228773832321,0.018873665,0.2,-0.04469783067434037,-0.0553123764693737,-3.504080620780587,0.2135498046875,50,0.0003,0.009208866087283241,,
28672,102.66,-4.52882161,7,27,1027,0.9463502503931522,0.01769725,0.2,-0.04609381494665286,-0.0877060741186142,-3.478740534931421,0.219189453125,60,0.0003,0.00787619351685862,,
32768,101.91,-4.427401059999999,8,32,1009,0.9608759582042694,0.019460395,0.2,-0.04807289855671115,-0.07095377147197723,-3.4806804213672877,0.218701171875,70,0.0003,0.006382145154748287,,
36864,102.6,-4.36004538,9,36,1005,0.9420394860208035,0.02046537,0.2,-0.04394544845090422,-0.045229438692331314,-3.4802505865693094,0.23984375,80,0.0003,0.006366086839989293,,
40000,,,,,,0.9278567731380463,0.018202636,0.2,-0.04220034313439101,-0.07823733985424042,-3.4545120533555744,0.20078125,90,0.0003,0.006896827807941009,91.4,-8.1143722
40960,103.32,-4.36746948,10,41,990,,,,,,,,,,,,
45056,102.89,-4.26236535,11,45,981,0.9663717225193977,0.019862134,0.2,-0.04773328545343247,-0.06417302042245865,-3.4799382228404285,0.22744140625,100,0.0003,0.003822082405895344,,
49152,101.91,-4.254626699999999,12,50,980,0.9513347186148167,0.018998545,0.2,-0.042676028764253714,-0.07414006441831589,-3.4530822791159155,0.21005859375,110,0.0003,0.00425342688758974,,
53248,102.59,-4.28890105,13,54,985,0.8936545327305794,0.019385848,0.2,-0.04221292875881773,-0.054505009204149246,-3.5059555031359197,0.20888671875,120,0.0003,0.009917140629113419,,
57344,102.4,-4.15369324,14,57,989,0.9367666393518448,0.020521972,0.2,-0.04498507612115645,-0.0642470270395279,-3.4779406733810903,0.23359375,130,0.0003,0.006627368524186749,,
60000,,,,,,0.9301786199212074,0.01945089,0.2,-0.04399511102856195,-0.07660068571567535,-3.4607112899422647,0.2348388671875,140,0.0003,0.0061618674140845545,99.2,-7.2404882
61440,102.16,-4.054061260000001,15,62,982,,,,,,,,,,,,
65536,102.09,-3.98508327,16,66,978,0.9418671242892742,0.02112502,0.2,-0.04507539248952526,-0.04267178475856781,-3.473903874307871,0.24345703125,150,0.0003,0.005122850157749781,,
69632,102.0,-3.8696533399999997,17,71,978,0.9398875869810581,0.021013316,0.2,-0.04722270639249473,-0.058820690959692,-3.5198333729058504,0.2572021484375,160,0.0003,0.0056613324841237045,,
73728,100.65,-3.7659242099999997,18,75,976,0.9173231273889542,0.019166766,0.2,-0.040679967824689814,-0.04305962845683098,-3.4686686538159845,0.2268798828125,170,0.0003,0.005869966642239888,,
77824,100.27,-3.7534887099999996,19,79,978,0.9328354746103287,0.019867431,0.2,-0.044999991203440004,-0.05869002267718315,-3.4773248873651026,0.227734375,180,0.0003,0.005548380304571765,,
80000,,,,,,0.9232220500707626,0.021836445,0.2,-0.04749264887868776,-0.05637349933385849,-3.449972956627607,0.2496337890625,190,0.0003,0.00493881073743978,84.0,-3.8997593999999998
81920,100.56,-3.7532974699999992,20,83,976,,,,,,,,,,,,
86016,102.14,-3.724882790000001,21,88,974,0.9411072321236134,0.021741975,0.2,-0.04635655914862582,-0.07844842970371246,-3.409878147765994,0.2652587890625,200,0.0003,0.005571074789713748,,
90112,101.71,-3.69824629,22,92,973,0.9540662430226803,0.020787993,0.2,-0.04419008639015374,-0.06887568533420563,-3.4254873149096965,0.240625,210,0.0003,0.004430438279814553,,
94208,100.46,-3.64464193,23,96,975,0.9144302234053612,0.020145064,0.2,-0.04364747464569518,-0.0832134410738945,-3.429707884415984,0.2351318359375,220,0.0003,0.006980085663963109,,
98304,101.11,-3.60480577,24,100,976,0.9336372390389442,0.022017617,0.2,-0.048191073849375245,-0.08411701768636703,-3.3953163608908654,0.2552490234375,230,0.0003,0.005428929268782667,,
100000,,,,,,0.9374329894781113,0.021878287,0.2,-0.04749580983479973,-0.08098939061164856,-3.365129220485687,0.2572509765625,240,0.0003,0.0052467249337496465,94.0,-4.2265414
102400,101.0,-3.53910245,25,105,973,,,,,,,,,,,,
106496,100.65,-3.5837333000000005,26,109,972,0.9411990791559219,0.020893726,0.2,-0.045959560775736465,-0.06847153604030609,-3.370866962894797,0.262890625,250,0.0003,0.004885530584488151,,
110592,100.32,-3.5970656300000003,27,113,973,0.9595515094697475,0.020109646,0.2,-0.04874348455414292,-0.07266209274530411,-3.350992202013731,0.2482666015625,260,0.0003,0.004044917941973836,,
114688,99.91,-3.5534345,28,118,966,0.9515451788902283,0.020998476,0.2,-0.04748478557521594,-0.09010996669530869,-3.289834672957659,0.2605712890625,270,0.0003,0.0038918864398510777,,
118784,101.32,-3.4666274300000004,29,123,963,0.9307551085948944,0.020264242,0.2,-0.04367145294454531,-0.06024814397096634,-3.2611714828759433,0.2404052734375,280,0.0003,0.005488510248687817,,
120000,,,,,,0.9279392287135124,0.023888327,0.2,-0.042817624103918206,-0.06974371522665024,-3.257997918128967,0.269775390625,290,0.0003,0.005324361320344906,99.6,-2.9289795999999995
122880,100.82,-3.4032116600000006,30,128,959,,,,,,,,,,,,
126976,101.45,-3.3475495400000006,31,132,961,0.9347164332866669,0.022311721,0.2,-0.04132675509681576,-0.07799971848726273,-3.2465664386749267,0.25302734375,300,0.0003,0.004598742829330149,,
131072,102.29,-3.3982156799999994,32,136,961,0.9369061961770058,0.022984408,0.2,-0.04149315579561517,-0.061713263392448425,-3.2417160857468845,0.2518798828125,310,0.0003,0.005288992283476545,,
135168,101.84,-3.452755459999999,33,140,961,0.9502467960119247,0.023342524,0.2,-0.04647568646905711,-0.060403622686862946,-3.223909505456686,0.26669921875,320,0.0003,0.0047202066427416865,,
