#{"t_start": 1706582451.810797, "env_id": "scheduler-mctsEnv"}
r,l,t
-3194.0,240,0.213305
-3197.0,240,0.246475
-3196.0,240,0.275961
-3197.0,240,0.303543
-3199.0,240,0.373308
-3199.0,240,0.40166
-3201.0,240,0.432176
-3198.0,240,0.460398
-3193.0,240,0.488998
-3200.0,240,0.51767
-3200.0,240,0.547502
-3198.0,240,0.577523
-3195.0,240,0.607397
-3193.0,240,0.635515
-3197.0,240,0.664423
-3193.0,240,0.694918
-3196.0,240,0.725157
-3199.0,240,0.753469
-3197.0,240,0.781293
-3194.0,240,0.808918
-3198.0,240,1.39261
-3207.0,240,4.883469
-3212.0,240,7.452581
-3203.0,240,10.482394
-3209.0,240,13.396814
-3218.0,240,15.839923
-3208.0,240,18.806875
-3207.0,240,21.506986
-3213.0,240,23.997059
-3210.0,240,26.371283
-3215.0,240,28.828972
-3211.0,240,31.341958
-3224.0,240,33.753913
-3217.0,240,36.48755
-3217.0,240,39.113467
-3211.0,240,41.58423
-3222.0,240,44.021171
-3223.0,240,46.504487
-3229.0,240,49.055364
-3223.0,240,51.46318
-3224.0,240,53.947572
-3223.0,240,56.415732
-3226.0,240,59.048621
-3231.0,240,61.454285
-3227.0,240,63.972123
-3227.0,240,66.579139
-3231.0,240,69.328468
-3228.0,240,71.997938
-3222.0,240,74.380772
-3225.0,240,76.76223
-3229.0,240,79.450676
-3226.0,240,81.930606
-3227.0,240,84.402777
-3226.0,240,86.721111
-3228.0,240,89.353653
-3224.0,240,92.054854
-3227.0,240,94.553862
-3223.0,240,97.37846
-3224.0,240,99.854401
-3226.0,240,102.411894
-3228.0,240,105.031055
-3224.0,240,108.295557
-3222.0,240,111.10805
-3223.0,240,113.266179
-3218.0,240,115.478223
-3227.0,240,117.832894
-3228.0,240,120.012609
-3225.0,240,122.148068
-3222.0,240,123.968837
-3226.0,240,126.205233
-3222.0,240,128.806892
-3224.0,240,130.691746
-3224.0,240,132.675017
-3226.0,240,134.886852
