time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,eval/std_reward,eval/mean_reward,eval/mean_ep_length
682,12.750446942857142,3,58.05714285714286,1,2048,,,,,,,,,,,,,
551,13.254770797101452,7,59.04347826086956,2,4096,10,0.0,-0.002953346801950829,38.47092455625534,-2.2308911971747873,0.004556775093078613,0.1,0.0006212931,38.189064025878906,3e-05,,,
515,14.093397629999997,11,59.03,3,6144,20,0.00888671875,-0.0041513166310323864,17.833380349725484,-2.2561588540673254,0.3279837369918823,0.1,0.0013891198,11.496283531188965,3e-05,,,
496,15.958973569999998,16,58.74,4,8192,30,0.006005859375,-0.0027847802150063215,40.83363337516785,-2.2201689437031744,0.3479025363922119,0.1,0.0009708336,13.957259178161621,3e-05,,,
,,,,,10000,40,0.010546875,-0.0038262666086666284,19.32116161212325,-2.2115394584834576,0.5400342047214508,0.1,0.0013825491,5.691995143890381,3e-05,15.054700752499084,6.414660967384817,60.1
474,17.04704267,21,57.02,5,10240,,,,,,,,,,,,,
476,18.737619130000002,25,56.5,6,12288,50,0.003857421875,-0.0033632513615884816,22.453709184750913,-2.2032581634819506,0.5150589346885681,0.1,0.0011512935,8.993408203125,3e-05,,,
476,17.84935434,30,56.88,7,14336,60,0.001025390625,-0.002628306519181933,15.942127360403537,-2.232046067714691,0.5536386966705322,0.1,0.0008096721,5.979565620422363,3e-05,,,
475,19.22942245,34,58.75,8,16384,70,0.004150390625,-0.0027513710614584853,15.894990335404874,-2.1974851064383985,0.5776110887527466,0.1,0.00078369887,6.522904872894287,3e-05,,,
477,18.96245652,38,57.52,9,18432,80,0.0185546875,-0.0038752884450332205,14.440373718738556,-2.211448146402836,0.6031502783298492,0.1,0.0015792223,5.931947231292725,3e-05,,,
,,,,,20000,90,0.013330078125,-0.00404694686512812,15.414995830133558,-2.183897640928626,0.6384298503398895,0.1,0.0014643715,6.481674671173096,3e-05,10.009729684621625,-8.52072374750922,57.9
466,19.86232484,43,57.66,10,20480,,,,,,,,,,,,,
463,19.137545290000002,48,58.16,11,22528,100,0.006982421875,-0.0026355393954872854,16.280444894731044,-2.18124573007226,0.6104015707969666,0.1,0.0011726,15.066568374633789,3e-05,,,
464,18.992258940000003,52,58.27,12,24576,110,0.00166015625,-0.0019625608729256783,12.921215659379959,-2.166626474633813,0.6560123264789581,0.1,0.00052224053,3.90134859085083,3e-05,,,
465,19.54327029,57,57.3,13,26624,120,0.04453125,-0.004760858223744435,11.95864715874195,-2.186385438591242,0.6869951486587524,0.1,0.0023025405,8.004578590393066,3e-05,,,
465,20.48391415,61,56.58,14,28672,130,0.048095703125,-0.004916645512275863,13.083585405349732,-2.1472689136862755,0.6978589296340942,0.1,0.0026636482,5.731554985046387,3e-05,,,
,,,,,30000,140,0.008984375,-0.0032397589100582993,14.585514970868825,-2.167667916044593,0.6871201395988464,0.1,0.001434193,8.221158981323242,3e-05,12.609424078621727,-16.169876353719598,54.5
459,21.461552749999996,66,58.36,15,30720,,,,,,,,,,,,,
460,24.730769569999993,71,57.54,16,32768,150,0.02666015625,-0.004760951460775686,10.319123720936478,-2.1791883945465087,0.7014610171318054,0.1,0.0021105306,1.9117861986160278,3e-05,,,
460,23.478123639999993,75,57.18,17,34816,160,0.02724609375,-0.0040918098115071185,15.373487846925855,-2.1135007120668887,0.6950730979442596,0.1,0.0019418751,3.766756772994995,3e-05,,,
456,25.12683458,80,57.46,18,36864,170,0.009423828125,-0.002209188909364457,9.884457638673485,-2.1142590612173082,0.6813613176345825,0.1,0.0012211141,8.683043479919434,3e-05,,,
455,24.614579319999997,85,57.56,19,38912,180,0.0236328125,-0.0034095804367098026,14.46172825396061,-2.1366900630295276,0.7350054085254669,0.1,0.0017422943,5.073797702789307,3e-05,,,
,,,,,40000,190,0.005712890625,-0.00281273499422241,11.369722435809672,-2.1328822899609805,0.7282178401947021,0.1,0.0011123674,7.729759693145752,3e-05,19.98503056566654,-1.349385498451889,58.2
450,25.425662169999995,90,58.4,20,40960,,,,,,,,,,,,,
450,24.189482039999998,95,59.29,21,43008,200,0.011669921875,-0.0029456046409904956,11.074927834887058,-2.1012669641524555,0.7693503350019455,0.1,0.0011087584,10.472443580627441,3e-05,,,
