rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,eval/mean_ep_length,eval/std_reward,eval/mean_reward
2.3603687254901957,534,79.13725490196079,1,4096,7,,,,,,,,,,,,,
4.75882017,465,78.95,2,8192,17,5e-05,7.350949764251709,0.1,-0.0066697714984911725,10,12.675863155722618,0.0020218275,0.01746976375579834,-2.6382685489952564,0.0521728515625,,,
,,,,10000,,5e-05,1.0841327905654907,0.1,-0.005888074265385512,20,7.615631672367454,0.0019027991,0.5702969431877136,-2.6430446483194827,0.0382080078125,77.9,3.6450392426745095,19.938579205631008
5.761434339999999,423,77.96,3,12288,29,,,,,,,,,,,,,
10.83437488,425,77.7,4,16384,38,5e-05,1.455806851387024,0.1,-0.007054883155069547,30,5.47098666317761,0.002171163,0.7512666285037994,-2.612903471291065,0.0572509765625,,,
,,,,20000,,5e-05,1.463209867477417,0.1,-0.006520399324654136,40,6.104291279055178,0.0027398411,0.7785413414239883,-2.6166591621935367,0.0712646484375,88.4,10.578128517804013,-19.498923554872952
16.053326320000004,413,78.07,5,20480,49,,,,,,,,,,,,,
17.53348058,417,77.55,6,24576,58,5e-05,2.7273740768432617,0.1,-0.006006491246807855,50,6.336093947663903,0.0023836386,0.8033582717180252,-2.6023527443408967,0.058056640625,,,
20.09142839,418,79.28,7,28672,68,5e-05,3.8455591201782227,0.1,-0.008091435965616256,60,5.490818798355758,0.0028339005,0.8201214522123337,-2.609343045949936,0.085546875,,,
,,,,30000,,5e-05,1.0850228071212769,0.1,-0.007302829866966931,70,2.7491795402020216,0.0024850504,0.8742556571960449,-2.6245942868292333,0.0714111328125,77.4,14.85547258065076,-28.99527057502356
21.795344890000003,412,80.31,8,32768,79,,,,,,,,,,,,,
24.453312780000005,413,78.39,9,36864,89,5e-05,3.3821773529052734,0.1,-0.00618204784586851,80,3.693754555284977,0.0022521447,0.8715294450521469,-2.5879718527197837,0.0587646484375,,,
