#{"t_start": 1706592558.933337, "env_id": "scheduler-mctsEnv"}
r,l,t
-3244.0,288,0.21644
-3242.0,288,0.250045
-3242.0,288,0.284137
-1825.0,273,0.315727
-3241.0,288,0.365909
-3241.0,288,0.400665
-3240.0,288,0.434794
-3240.0,288,0.467551
-1907.0,265,0.499376
-3241.0,288,0.532186
-3241.0,288,0.565478
-1446.0,264,0.595282
-3242.0,288,0.628275
-3243.0,288,0.662388
-3240.0,288,0.69559
-3243.0,288,0.728338
-3240.0,288,0.7621
-3243.0,288,3.271445
-3258.0,288,7.019708
-3249.0,288,11.432092
-3251.0,288,15.688708
-3245.0,288,19.787807
-3254.0,288,24.020255
-3254.0,288,28.501696
-3257.0,288,33.087287
-3261.0,288,37.013977
-3255.0,288,40.778546
-3264.0,288,45.305187
-3263.0,288,49.123906
-3258.0,288,53.49837
-3271.0,288,57.949441
-3276.0,288,62.580366
-3269.0,288,66.425249
-3271.0,288,69.831
-3280.0,288,74.328193
-3275.0,288,77.982798
-3273.0,288,82.195847
-3273.0,288,86.611802
-3271.0,288,90.940103
-3278.0,288,95.446489
-3276.0,288,99.594617
-3272.0,288,103.722032
-3273.0,288,108.074233
-3273.0,288,112.70625
-3274.0,288,118.336053
-3279.0,288,126.94087
-3272.0,288,132.074073
-3269.0,288,136.585435
-3274.0,288,140.745017
-3275.0,288,145.293802
-3272.0,288,149.867801
-3274.0,288,155.367216
-3273.0,288,159.936485
-3275.0,288,164.192359
-3268.0,288,168.531139
-3276.0,288,173.119827
-3271.0,288,177.890421
-3269.0,288,182.389654
-3273.0,288,187.193155
-3277.0,288,191.688972
-3272.0,288,196.82727
-3274.0,288,201.665272
-3274.0,288,206.235833
-3279.0,288,210.813186
-3273.0,288,215.803143
-3266.0,288,220.371416
-3272.0,288,224.340405
-3268.0,288,228.976246
-3274.0,288,233.519433
-3267.0,288,238.090028
-3274.0,288,242.572459
-3274.0,288,247.522395
-3270.0,288,252.372625
-3273.0,288,257.558576
-3265.0,288,263.047742
-3268.0,288,267.969808
-3276.0,288,273.598224
-3273.0,288,277.751677
-3270.0,288,282.514012
-3270.0,288,287.552673
-3265.0,288,292.341873
-3269.0,288,297.257783
-3269.0,288,301.623649
-3273.0,288,305.750787
-3274.0,288,310.964494
-3268.0,288,315.495226
-3269.0,288,320.118656
-3276.0,288,324.721311
-3271.0,288,329.259149
-3266.0,288,333.450693
-3273.0,288,337.822996
-3270.0,288,341.694241
-3269.0,288,346.133626
-3264.0,288,349.56122
-3266.0,288,353.456596
-3265.0,288,358.27111
-3273.0,288,362.539735
-3273.0,288,367.104303
-3272.0,288,371.40534
-3271.0,288,375.843192
-3265.0,288,379.861169
-3274.0,288,384.807109
-3268.0,288,389.627866
-3262.0,288,393.95514
-3270.0,288,398.402557
-3268.0,288,402.978659
-3265.0,288,406.96144
-3271.0,288,411.270984
-3270.0,288,415.711749
-3263.0,288,419.494775
-3269.0,288,423.201978
-3265.0,288,427.443986
-3273.0,288,431.010767
-3274.0,288,435.991796
-3266.0,288,441.066918
-3268.0,288,446.135112
-3272.0,288,450.117878
-3265.0,288,454.742579
-3269.0,288,458.82497
-3268.0,288,462.821453
-3266.0,288,467.194313
-3268.0,288,472.002305
-3263.0,288,476.493696
-3273.0,288,480.643423
-3263.0,288,486.005673
-3272.0,288,490.68769
-3264.0,288,495.192054
-3264.0,288,499.885704
-3266.0,288,504.626881
