#{"t_start": 1708778428.471224, "env_id": "scheduler-customEnv"}
r,l,t
-35.494007,167,0.417509
-13.603821,108,0.480156
-33.411252,162,0.576057
-46.031154,172,0.67429
-44.868401,186,0.785682
-29.361998,144,0.874255
-96.042422,274,1.045966
-54.24788,185,1.15375
-62.747745,220,1.28818
-53.847558,187,1.406734
-28.634033,155,1.498138
-34.359797,171,9.373622
-33.671763,148,9.459453
-55.843207,197,9.585077
-41.529677,163,9.678349
-44.69256,164,9.774515
-46.866917,185,9.881471
-46.810962,177,9.979188
-68.759827,214,10.102503
-53.695616,200,10.215485
-32.57092,144,10.296792
-99.350517,280,10.461174
-19.369001,119,17.583124
-51.742113,186,17.731395
-38.979083,161,17.838167
-57.937742,193,17.948683
-113.868391,309,18.129285
-51.76724,182,18.234081
-33.639664,169,18.334171
-26.634752,149,18.417465
-45.579508,186,18.523448
-38.307543,163,18.614531
-68.048694,214,18.740188
-79.798882,236,27.219264
-45.850802,169,27.341096
-63.180542,207,27.464195
-63.032637,215,27.59048
-44.14856,169,27.691613
-26.690646,150,27.785471
-27.914181,136,27.872329
-38.093453,156,27.958491
-31.110082,151,28.040169
-34.438476,172,28.143919
-37.151447,164,28.241635
-75.263223,233,28.379548
-60.827256,218,36.54396
-30.645436,150,36.662066
-25.840815,129,36.744256
-25.055455,147,36.832625
-28.584375,161,36.922254
-19.621008,141,37.001793
-73.127573,244,37.145195
-36.403266,156,37.238866
-35.177271,148,37.328551
-34.66488,170,37.433814
-39.489772,162,37.534736
-68.909463,223,45.813459
-25.896823,131,45.915724
-55.865556,220,46.092553
-76.883688,234,46.229884
-52.691321,200,46.346509
-66.304451,212,46.470504
-120.003005,315,46.65775
-47.318853,176,46.759567
-48.049835,165,46.856433
-48.222625,194,46.972387
-91.87629,274,55.114795
-45.24153,176,55.259902
-58.144945,195,55.385699
-53.406445,190,55.495443
-76.969133,226,55.629197
-42.195481,173,55.727223
-36.639638,156,55.818687
-56.98474,195,55.933396
-41.386392,154,56.025689
-29.716516,140,56.105934
-49.831836,179,56.209014
-50.669959,177,56.31305
-52.314597,185,65.288092
-74.107003,218,65.520438
-10.261554,108,65.582184
-63.734936,218,65.716927
-40.35252,160,65.824993
-51.781078,182,65.942906
-55.500418,190,66.058684
-29.795384,139,66.141352
-40.049822,161,66.240297
-36.154658,151,66.32523
-33.335567,149,66.409029
-55.857337,185,66.53798
-63.834055,202,74.403712
-37.171715,156,74.519641
-12.941667,103,74.58388
-23.920586,138,74.668346
-33.447106,141,74.751207
-67.609016,218,74.881071
-27.508684,142,74.982833
-4.513215,115,75.05585
-27.59662,137,75.140494
-32.729219,162,75.262641
-30.613234,149,75.356864
-42.111327,176,75.463777
-32.621162,145,75.552364
-21.385478,142,88.476563
-10.569643,105,88.548857
-30.663389,141,88.656205
-32.553201,139,88.739398
-15.878793,108,88.801286
-36.852111,173,88.902582
-5.380884,116,88.968161
-42.371624,173,89.072336
-15.393379,122,89.144421
-15.24375,111,89.210469
-31.372839,145,89.295458
-15.869993,111,89.359091
-17.730388,132,89.437204
-35.928585,153,89.524907
-32.686026,145,89.609273
-15.148011,106,89.670051
-28.652962,135,98.962851
-37.360959,153,99.108854
-16.921417,120,99.179487
-32.217878,141,99.262562
-46.66335,173,99.372698
-70.392706,237,99.517777
-69.765768,214,99.650548
-16.679883,117,99.714879
-22.202363,127,99.788792
-10.586934,110,99.852443
-43.959256,179,99.956436
-42.18533,159,100.052038
-29.044951,136,100.133718
-26.739851,136,110.784109
-36.758474,154,110.926967
-23.063585,119,111.016059
-3.973999,84,111.064617
-41.389655,159,111.16116
-69.034283,222,111.298265
-34.069015,141,111.381037
-54.268247,191,111.495933
-31.966706,155,111.587934
-48.880928,176,111.693053
-19.391174,134,111.772692
-39.204869,166,111.870566
-0.108381,100,111.928809
-18.029669,127,112.005499
-5.752926,91,118.66317
-13.745863,115,118.746872
-33.39479,140,118.867381
-8.787726,96,118.922826
-37.064648,150,119.011546
-10.104707,114,119.078915
-23.744236,127,119.151694
-39.435623,160,119.246833
-23.86294,141,119.329095
-54.942758,194,119.445442
-31.4835,142,119.531114
-58.369742,193,119.645768
-34.120585,153,119.73449
-26.441184,131,119.812506
-34.530434,148,127.738365
-44.723936,169,127.980094
-45.884587,169,128.110601
-4.138061,100,128.175909
-54.894831,186,128.311709
-72.811765,226,128.473095
-48.248772,172,128.608491
-15.414835,114,128.689243
-5.269546,107,128.761589
