time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,eval/mean_reward,eval/std_reward,eval/mean_ep_length
1,38.0377358490566,2,16.247230924528303,754,2048,,,,,,,,,,,,,
2,37.8,6,17.16505695,615,4096,-0.002431817166507244,0.0010985136032104492,25.646734370291234,10,6.327671527862549,5e-05,-1.2430390518158674,0.0019008901,0.02392578125,0.1,,,
3,37.71,10,18.16907296,599,6144,-0.0015382658872113097,0.40448176860809326,22.735446597635747,20,7.500024795532227,5e-05,-1.2375271733850242,0.0007630151,0.00537109375,0.1,,,
4,36.78,13,19.05528354,591,8192,-0.0019279206913779489,0.4594607353210449,18.112266326695682,30,6.437741756439209,5e-05,-1.2565042920410634,0.0013257046,0.027099609375,0.1,,,
,,,,,10000,-0.0019680999663250986,0.49633800983428955,17.87778621315956,40,10.695342063903809,5e-05,-1.2350903179496526,0.0014487174,0.007568359375,0.1,5.300994493561683,8.774179197807822,36.0
5,36.84,18,19.364257540000004,568,10240,,,,,,,,,,,,,
6,38.67,21,18.34008886,569,12288,-0.002018558813870186,0.5148642063140869,17.35735979527235,50,7.630977630615234,5e-05,-1.2400517843663692,0.0009253178,0.006494140625,0.1,,,
7,38.94,24,16.54137305,573,14336,-0.0013670893422386143,0.6309709548950195,9.361629442498089,60,3.4608819484710693,5e-05,-1.2647226095199584,0.0005766598,4.8828125e-05,0.1,,,
8,38.34,28,15.1689184,575,16384,-0.0020976261996111132,0.5872270166873932,12.083310290426017,70,6.309619426727295,5e-05,-1.2303780417889356,0.0010967217,0.00439453125,0.1,,,
9,38.01,31,17.06358768,578,18432,-0.002334468893968733,0.6780222356319427,10.04752762913704,80,3.4037370681762695,5e-05,-1.2358619928359986,0.0013561205,0.017333984375,0.1,,,
,,,,,20000,-0.0022489827635581603,0.7126306295394897,8.63347136154771,90,2.773859739303589,5e-05,-1.249581904709339,0.0007189887,0.011474609375,0.1,7.541696324234595,12.109332668412085,36.6
10,38.19,36,16.684503460000002,567,20480,,,,,,,,,,,,,
11,38.85,39,17.01090134,567,22528,-0.0024412840117292943,0.7440882325172424,5.871954005770386,100,3.2765204906463623,5e-05,-1.236425929889083,0.0015030163,0.015625,0.1,,,
12,37.68,43,17.75064097,569,24576,-0.0031218000360240692,0.7152062356472015,8.016368385776877,110,5.307567119598389,5e-05,-1.2261278688907624,0.0015926858,0.02119140625,0.1,,,
13,37.2,46,16.51796677,568,26624,-0.0018607218451506923,0.7555312365293503,7.472397533617913,120,4.732745170593262,5e-05,-1.2310174457728862,0.0011919312,0.008984375,0.1,,,
14,36.96,50,17.8132743,567,28672,-0.0020009865023894236,0.7982265204191208,5.373663532733917,130,1.9097812175750732,5e-05,-1.2577160958200693,0.0012423327,0.010498046875,0.1,,,
,,,,,30000,-0.0024962791372672654,0.7291767001152039,8.318647523969412,140,1.7889137268066406,5e-05,-1.207204782217741,0.0016505565,0.02392578125,0.1,5.85116759742696,9.921920769064595,42.9
15,36.72,54,18.80554686,561,30720,,,,,,,,,,,,,
16,38.04,58,17.752799550000002,561,32768,-0.0037195104487182107,0.7581599354743958,8.48935914374888,150,4.09806489944458,5e-05,-1.1991706106811761,0.001770702,0.048974609375,0.1,,,
17,39.06,61,17.32430526,561,34816,-0.002916926422767574,0.7970366925001144,5.403596889786423,160,0.7540008425712585,5e-05,-1.2161248590797187,0.0017703148,0.028662109375,0.1,,,
18,38.46,65,18.45985804,562,36864,-0.002562418457819149,0.8315505236387253,4.474037914164365,170,2.5111026763916016,5e-05,-1.2660774923861027,0.0018541433,0.032763671875,0.1,,,
19,38.1,69,17.13529639,561,38912,-0.0030956684742704963,0.8349533975124359,5.253731768205762,180,4.616037845611572,5e-05,-1.2564937483519316,0.001262242,0.018603515625,0.1,,,
,,,,,40000,-0.002427350488869706,0.8285605162382126,4.538484767079353,190,4.579141139984131,5e-05,-1.1960789881646634,0.0018416947,0.022216796875,0.1,5.157498344924786,16.141686702021044,37.8
20,37.2,73,17.02718809,560,40960,,,,,,,,,,,,,
21,36.33,76,17.99461693,561,43008,-0.002936237520043505,0.8357606679201126,4.391834582015872,200,0.6947723031044006,5e-05,-1.191904643177986,0.0013304974,0.013916015625,0.1,,,
