time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_fraction,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/std_reward
1,2,2048,19.172553339285717,36.32142857142857,908,,,,,,,,,,,,,
2,6,4096,18.15244089,37.41,666,0.002978515625,-0.019034862518310547,89.87283669710159,0.00350516,10,-0.0056917889749456664,39.6900749206543,5e-05,-1.9468990117311478,0.2,,,
3,9,6144,17.66214213,38.91,618,0.02080078125,0.11445647478103638,78.96651266813278,0.007872803,20,-0.010161450380110182,38.80426788330078,5e-05,-1.9346582926809788,0.2,,,
4,13,8192,16.91821623,37.86,613,0.0,0.15181630849838257,105.43295741081238,0.0014358386,30,-0.0038845306589792017,89.14662170410156,5e-05,-1.8986084256321192,0.2,,,
,,10000,,,,0.0,0.2933962345123291,77.42658824920655,0.0022390895,40,-0.004283925548952539,29.2999324798584,5e-05,-1.9329710379242897,0.2,21.210334804084802,35.4,11.4598354059218
5,17,10240,20.962433849999996,37.5,594,,,,,,,,,,,,,
6,20,12288,24.025606970000002,37.23,590,0.015869140625,0.17358362674713135,72.87233397960662,0.007154713,50,-0.008374698589614126,34.85525894165039,5e-05,-1.8799304835498334,0.2,,,
7,24,14336,23.397710040000003,37.62,589,0.005908203125,0.15237730741500854,93.83393868207932,0.004330339,60,-0.006370871085528052,36.65496826171875,5e-05,-1.8981121741235256,0.2,,,
8,27,16384,27.230490319999998,37.17,590,0.0015625,0.24950635433197021,73.7006497502327,0.0029871645,70,-0.004246684900863329,30.998462677001953,5e-05,-1.9199939362704754,0.2,,,
9,31,18432,30.552423830000002,37.11,590,0.02744140625,0.10404622554779053,89.60705095529556,0.008028528,80,-0.007036347607936477,53.277462005615234,5e-05,-1.8928222201764584,0.2,,,
,,20000,,,,0.0197265625,0.09065514802932739,58.008363807201384,0.0077509107,90,-0.00891879315895494,25.60369873046875,5e-05,-1.8903115130960941,0.2,10.734775641025639,39.3,7.5958341154322015
10,35,20480,27.1377741,37.89,583,,,,,,,,,,,,,
11,38,22528,27.84135216,37.17,584,0.0001953125,0.37271028757095337,56.46152311563492,0.002789615,100,-0.004676495738385711,25.82904052734375,5e-05,-1.830557657405734,0.2,,,
12,41,24576,29.98334629,37.59,586,0.006982421875,0.22139239311218262,76.16138142347336,0.0055715423,110,-0.006737947002693545,36.458744049072266,5e-05,-1.8169011667370796,0.2,,,
13,45,26624,30.570635490000004,38.28,587,0.003564453125,0.27134042978286743,61.27008073925972,0.003474954,120,-0.005289775418714271,26.985010147094727,5e-05,-1.827349116280675,0.2,,,
14,48,28672,31.72855708,38.1,588,0.012890625,0.15730029344558716,59.516421884298325,0.0058875806,130,-0.008311719049379463,28.74287986755371,5e-05,-1.8234496530145408,0.2,,,
