time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/clip_fraction,train/value_loss,eval/mean_ep_length,eval/mean_reward
8,1,-24.67440574418605,4096,489,94.18604651162791,,,,,,,,,,,,
17,2,-23.28498126436781,8192,458,93.44827586206897,0.0002982540384905408,10,-3.0712822318077087,-0.027026538189966233,0.0074909832,-0.0083351135,39.60371398925781,0.1,0.4388916015625,152.7334000825882,,
27,3,-19.283420910000004,12288,448,93.08,0.00029651521381321417,20,-3.084319308400154,-0.021336131475982255,0.0050375294,0.38057482,14.212872505187988,0.1,0.2188720703125,57.908323073387145,,
36,4,-17.7117756,16384,443,93.41,0.00029478349679534234,30,-3.0645633533596994,-0.02223935090296436,0.0045017796,0.50154793,22.139606475830078,0.1,0.2375244140625,60.25079506635666,,
46,5,-15.164918089999999,20480,440,94.83,0.00029305885838349364,40,-3.093850639462471,-0.021742268130765297,0.0049795965,0.45253217,22.685972213745117,0.1,0.2175048828125,50.75982863903046,,
55,6,-11.466668730000002,24576,439,92.61,0.00029134126964299687,50,-3.079459419846535,-0.0226109355018707,0.0056828205,0.4229418,6.751155853271484,0.1,0.249658203125,34.50930849909783,,
65,7,-9.55201764,28672,437,92.86,0.00028963070175745437,60,-3.0749029338359835,-0.024498767068143933,0.0051192353,0.49891943,8.372312545776367,0.1,0.2712890625,27.91848310828209,,
75,8,-8.09315724,32768,436,93.17,0.0002879271260282591,70,-3.0651972234249114,-0.022856577986385674,0.0065503092,0.46896136,5.633483409881592,0.1,0.283740234375,25.030662655830383,,
84,9,-8.12260841,36864,434,93.82,0.00028623051387411313,80,-3.0848735213279723,-0.02326982059457805,0.0071596876,0.42114192,17.90740394592285,0.1,0.283056640625,30.332784700393677,,
,,,40960,,,0.0002845408368305483,90,-3.0787139132618906,-0.023006442125188188,0.0060772523,0.48965752,4.378474235534668,0.1,0.2691162109375,23.782464110851286,102.4,-21.727362298965453
95,10,-5.072975300000001,40960,428,93.42,,,,,,,,,,,,
105,11,-3.8917196199999995,45056,428,93.09,0.00028285806654944785,100,-3.0423164039850237,-0.02613915891270153,0.006105521,0.50593567,2.751370429992676,0.1,0.316064453125,19.521758180856704,,
114,12,-4.72341059,49152,428,93.13,0.00028118217479857193,110,-3.0673165291547777,-0.022385596012463795,0.005681452,0.42569178,2.5530011653900146,0.1,0.275341796875,25.003936314582823,,
124,13,-5.51383243,53248,427,94.76,0.0002795131334610835,120,-3.0649125635623933,-0.02544411464186851,0.0073774457,0.5079808,3.946709394454956,0.1,0.3259521484375,17.892573626339434,,
134,14,-4.43717728,57344,426,96.05,0.0002778509145350762,130,-3.0834230199456214,-0.022622999125451314,0.006669297,0.551962,10.392004013061523,0.1,0.2928466796875,31.421173185110092,,
144,15,-0.98442893,61440,426,94.97,0.00027619549013310546,140,-3.054554006457329,-0.026410524886159692,0.0065627377,0.46072388,5.017019271850586,0.1,0.3244384765625,17.55562916100025,,
